domain,keyword,frequency,weighted_freq,pct_jobs,weighted_pct,rank
DevOps,manage,3098,2005.3,66.82,0.92,6
DevOps,infrastructure,3030,1937.3,65.36,0.89,7
DevOps,system,2467,1910.3,53.21,0.87,8
DevOps,deployment,2980,1887.3,64.28,0.86,9
DevOps,pipeline,2897,1804.3,62.49,0.82,10
DevOps,include,2296,1739.3,49.53,0.8,11
DevOps,responsibility,2278,1721.3,49.14,0.79,12
DevOps,require,2247,1711.0,48.47,0.78,13
DevOps,team,2133,1702.2,46.01,0.78,14
DevOps,devops,2766,1682.6,59.66,0.77,15
DevOps,kubernetes,2743,1650.3,59.17,0.75,16
DevOps,solution,2010,1474.0,43.36,0.67,17
DevOps,process,2013,1456.3,43.42,0.67,18
DevOps,responsible,1948,1412.0,42.02,0.65,19
DevOps,maintain,1859,1323.0,40.1,0.6,20
DevOps,performance,1838,1281.3,39.65,0.59,21
DevOps,code,1797,1240.3,38.76,0.57,22
DevOps,build,1774,1238.0,38.27,0.57,23
DevOps,monitoring,1688,1152.0,36.41,0.53,24
DevOps,lead,1524,1091.1,32.87,0.5,25
DevOps,automate,1606,1049.3,34.64,0.48,26
DevOps,monitor,1586,1029.3,34.21,0.47,27
DevOps,docker,1582,1025.3,34.12,0.47,28
DevOps,improve,1556,1010.1,33.56,0.46,29
DevOps,resource,1479,943.0,31.9,0.43,30
Software Engineering,software,15312,9608.1,95.26,2.78,1
Software Engineering,engineer,15094,9396.4,93.9,2.71,2
Software Engineering,work,8289,5384.3,51.57,1.56,3
Software Engineering,design,8170,5265.3,50.83,1.52,4
Software Engineering,system,8169,5264.3,50.82,1.52,5
Software Engineering,team,8126,5258.8,50.55,1.52,6
Software Engineering,development,8052,5211.7,50.09,1.51,7
Software Engineering,responsibility,8009,5104.3,49.83,1.47,8
Software Engineering,develop,7967,5062.3,49.56,1.46,9
Software Engineering,include,7925,5020.3,49.3,1.45,10
Software Engineering,requirement,7794,4994.8,48.49,1.44,11
Software Engineering,solution,7754,4849.3,48.24,1.4,12
Software Engineering,quality,7701,4796.3,47.91,1.39,13
Software Engineering,write,7663,4758.3,47.67,1.37,14
Software Engineering,strong,7545,4745.8,46.94,1.37,15
Software Engineering,good,7628,4723.3,47.46,1.36,16
Software Engineering,high,7619,4714.3,47.4,1.36,17
Software Engineering,application,7504,4704.5,46.68,1.36,18
Software Engineering,maintain,7596,4691.3,47.26,1.36,19
Software Engineering,code,7573,4668.3,47.11,1.35,20
Software Engineering,implement,7570,4665.3,47.09,1.35,21
Software Engineering,lead,7530,4661.6,46.85,1.35,22
Software Engineering,programming,7509,4645.4,46.72,1.34,23
Software Engineering,practice,7523,4618.3,46.8,1.33,24
Software Engineering,review,7499,4594.3,46.65,1.33,25
Software Engineering,service,7372,4569.2,45.86,1.32,26
Software Engineering,candidate,7358,4558.5,45.78,1.32,27
Software Engineering,participate,7432,4527.3,46.24,1.31,28
Software Engineering,language,7360,4496.4,45.79,1.3,29
Software Engineering,modern,7337,4432.3,45.65,1.28,30
Web Development,experience,2828,2003.6,92.97,2.08,1
Web Development,developer,2540,1729.1,83.5,1.79,2
Web Development,web,2549,1724.6,83.79,1.79,3
Web Development,application,2504,1679.6,82.31,1.74,4
Web Development,team,2100,1477.2,69.03,1.53,5
Web Development,build,2256,1431.6,74.16,1.49,6
Web Development,responsive,2141,1316.6,70.38,1.37,7
Web Development,work,1496,1097.6,49.18,1.14,8
Web Development,design,1446,1036.8,47.53,1.08,9
Web Development,develop,1414,998.8,46.48,1.04,10
Web Development,responsibility,1351,935.8,44.41,0.97,11
Web Development,include,1345,929.8,44.21,0.97,12
Web Development,service,1304,894.8,42.87,0.93,13
Web Development,join,1285,875.8,42.24,0.91,14
Web Development,framework,1261,845.8,41.45,0.88,15
Web Development,engineering,1243,833.8,40.86,0.87,16
Web Development,react,1250,824.0,41.09,0.86,17
Web Development,user,1212,813.6,39.84,0.84,18
Web Development,responsible,1203,793.8,39.55,0.82,19
Web Development,lead,1215,790.2,39.94,0.82,20
Web Development,seek,1196,786.8,39.32,0.82,21
Web Development,implement,1194,784.8,39.25,0.81,22
Web Development,create,1186,770.8,38.99,0.8,23
Web Development,stack,1174,763.9,38.59,0.79,24
Web Development,ensure,1173,757.8,38.56,0.79,25
Web Development,api,1171,755.8,38.49,0.78,26
Web Development,performance,1169,753.8,38.43,0.78,27
Web Development,rest,1154,738.8,37.94,0.77,28
Web Development,cross,1149,733.8,37.77,0.76,29
Web Development,key,1149,733.8,37.77,0.76,29
