domain,keyword,document_frequency,weighted_frequency,pct_of_jobs,weighted_pct,rank
Cybersecurity,network,1322,968.6,42.21,0.56,5
Cybersecurity,monitoring,1223,852.7,39.05,0.49,6
Cybersecurity,implementing,1203,832.7,38.41,0.48,7
Cybersecurity,cybersecurity,1177,817.5,37.58,0.47,8
Cybersecurity,automation,1146,788.0,36.59,0.46,9
Cybersecurity,include,1158,787.7,36.97,0.46,10
Cybersecurity,compliance,1136,778.0,36.27,0.45,11
Cybersecurity,join,1114,761.2,35.57,0.44,12
Cybersecurity,implement,1105,752.2,35.28,0.44,13
Cybersecurity,teams,964,727.6,30.78,0.42,14
Cybersecurity,vulnerability,1086,715.7,34.67,0.42,15
Cybersecurity,controls,1074,708.9,34.29,0.41,16
Cybersecurity,organizational,1057,686.7,33.75,0.4,17
Cybersecurity,assessments,1041,670.7,33.24,0.39,18
Cybersecurity,threats,1034,663.7,33.01,0.39,19
Cybersecurity,threat,1005,651.9,32.09,0.38,20
Cybersecurity,conducting,998,627.7,31.86,0.36,21
Cybersecurity,requires,978,625.2,31.23,0.36,22
Cybersecurity,penetration,991,620.7,31.64,0.36,23
Cybersecurity,tests,988,617.7,31.55,0.36,24
Cybersecurity,protect,982,611.7,31.35,0.35,25
Cybersecurity,assets,970,599.7,30.97,0.35,26
Cybersecurity,measures,969,598.7,30.94,0.35,27
Cybersecurity,monitor,945,592.2,30.17,0.34,28
Cybersecurity,initiatives,943,585.0,30.11,0.34,29
Cybersecurity,events,931,578.2,29.73,0.34,30
Data Science,data,6195,4573.0,93.61,1.73,1
Data Science,sql,5437,3815.0,82.15,1.44,2
Data Science,python,5204,3582.0,78.63,1.36,3
Data Science,models,4842,3220.0,73.16,1.22,4
Data Science,creating,4830,3208.0,72.98,1.21,5
Data Science,analysis,3043,2332.6,45.98,0.88,6
Data Science,you,2939,2027.4,44.41,0.77,7
Data Science,stakeholders,2712,2001.6,40.98,0.76,8
Data Science,building,2709,1998.6,40.93,0.76,9
Data Science,large,2634,1923.6,39.8,0.73,10
Data Science,include,2632,1921.6,39.77,0.73,11
Data Science,analyze,2613,1902.6,39.48,0.72,12
Data Science,analytics,2825,1892.7,42.69,0.72,13
Data Science,drive,2563,1852.6,38.73,0.7,14
Data Science,insights,2533,1822.6,38.27,0.69,15
Data Science,scale,2530,1819.6,38.23,0.69,16
Data Science,essential,2509,1798.6,37.91,0.68,17
Data Science,performing,2486,1775.6,37.56,0.67,18
Data Science,decisions,2468,1757.6,37.29,0.67,19
Data Science,datasets,2466,1755.6,37.26,0.66,20
Data Science,extract,2438,1727.6,36.84,0.65,21
Data Science,actionable,2438,1727.6,36.84,0.65,21
Data Science,visualizations,2425,1714.6,36.64,0.65,22
Data Science,findings,2418,1707.6,36.54,0.65,23
Data Science,communicating,2414,1703.6,36.48,0.65,24
Data Science,key,2607,1695.4,39.39,0.64,25
Data Science,scientist,2673,1648.9,40.39,0.62,26
Data Science,join,2529,1617.4,38.21,0.61,27
Data Science,dashboards,2419,1507.4,36.55,0.57,28
Data Science,requires,2396,1484.1,36.2,0.56,29
DevOps,engineer,3538,2446.8,76.32,1.1,1
DevOps,you,3409,2316.3,73.53,1.04,2
DevOps,monitoring,3177,2084.3,68.53,0.94,3
DevOps,cloud,3107,2024.2,67.02,0.91,4
DevOps,infrastructure,3025,1932.3,65.25,0.87,5
DevOps,implementing,2976,1883.3,64.19,0.85,6
DevOps,deployment,2954,1861.3,63.72,0.84,7
DevOps,devops,2943,1858.7,63.48,0.84,8
DevOps,kubernetes,2950,1857.3,63.63,0.84,9
DevOps,pipelines,2853,1760.3,61.54,0.79,10
DevOps,system,1951,1394.3,42.08,0.63,11
DevOps,years,1318,1318.0,28.43,0.59,12
DevOps,performance,1838,1281.3,39.65,0.58,13
DevOps,code,1768,1211.3,38.14,0.55,14
DevOps,processes,1748,1191.3,37.7,0.54,15
DevOps,building,1645,1109.0,35.48,0.5,16
DevOps,include,1664,1107.3,35.89,0.5,17
DevOps,teams,1510,1079.2,32.57,0.49,18
DevOps,docker,1584,1027.3,34.17,0.46,19
DevOps,manage,1583,1026.3,34.15,0.46,20
DevOps,maintaining,1557,1021.0,33.58,0.46,21
DevOps,managing,1531,995.0,33.02,0.45,22
DevOps,improve,1507,961.1,32.51,0.43,23
DevOps,lead,1366,933.1,29.47,0.42,24
DevOps,containerization,1462,905.3,31.54,0.41,25
DevOps,optimization,1446,899.2,31.19,0.41,26
DevOps,automate,1451,894.3,31.3,0.4,27
DevOps,resources,1423,887.0,30.69,0.4,28
DevOps,hiring,1387,851.0,29.92,0.38,29
DevOps,terraform,1340,804.0,28.9,0.36,30
Software Engineering,software,15312,9608.1,95.26,2.94,1
Software Engineering,engineer,14984,9286.1,93.22,2.84,2
Software Engineering,you,14948,9244.1,92.99,2.83,3
Software Engineering,development,8050,5209.7,50.08,1.59,4
Software Engineering,quality,7696,4791.3,47.88,1.47,5
Software Engineering,high,7579,4674.3,47.15,1.43,6
Software Engineering,programming,7522,4658.4,46.8,1.43,7
Software Engineering,code,7548,4643.3,46.96,1.42,8
Software Engineering,data,7429,4629.5,46.22,1.42,9
Software Engineering,teams,7476,4610.0,46.51,1.41,10
Software Engineering,practices,7501,4596.3,46.67,1.41,11
Software Engineering,include,7493,4588.3,46.62,1.4,12
Software Engineering,best,7489,4584.3,46.59,1.4,13
Software Engineering,maintain,7477,4572.3,46.52,1.4,14
Software Engineering,applications,7362,4562.8,45.8,1.4,15
Software Engineering,lead,7404,4535.6,46.06,1.39,16
Software Engineering,writing,7431,4526.3,46.23,1.38,17
Software Engineering,implementing,7420,4515.3,46.16,1.38,18
Software Engineering,reviews,7399,4494.3,46.03,1.38,19
Software Engineering,services,7267,4464.2,45.21,1.37,20
Software Engineering,while,7303,4437.0,45.43,1.36,21
Software Engineering,modern,7337,4432.3,45.65,1.36,22
Software Engineering,languages,7289,4425.4,45.35,1.35,23
Software Engineering,full,7220,4419.9,44.92,1.35,24
Software Engineering,participating,7323,4418.3,45.56,1.35,25
Software Engineering,maintainable,7320,4415.3,45.54,1.35,26
Software Engineering,clean,7319,4414.3,45.53,1.35,27
Software Engineering,also,7270,4404.0,45.23,1.35,28
Software Engineering,scalable,7238,4374.4,45.03,1.34,29
Software Engineering,frameworks,7226,4362.4,44.95,1.33,30
Web Development,web,2550,1725.6,83.83,1.78,1
Web Development,developer,2504,1692.5,82.31,1.75,2
Web Development,you,2507,1682.6,82.41,1.74,3
Web Development,applications,2380,1555.6,78.24,1.6,4
Web Development,responsive,2141,1316.6,70.38,1.36,5
Web Development,join,1279,869.8,42.04,0.9,6
Web Development,application,1284,868.8,42.21,0.9,7
Web Development,services,1261,851.8,41.45,0.88,8
Web Development,engineering,1243,833.8,40.86,0.86,9
Web Development,react,1253,827.0,41.19,0.85,10
Web Development,full,1205,794.9,39.61,0.82,11
Web Development,user,1186,787.6,38.99,0.81,12
Web Development,teams,1206,781.2,39.64,0.81,13
Web Development,building,1183,773.8,38.89,0.8,14
Web Development,stack,1172,761.9,38.53,0.79,15
Web Development,frameworks,1177,761.8,38.69,0.79,16
Web Development,apis,1173,757.8,38.56,0.78,17
Web Development,performance,1169,753.8,38.43,0.78,18
Web Development,rest,1154,738.8,37.94,0.76,19
Web Development,build,1153,737.8,37.9,0.76,20
Web Development,cross,1149,733.8,37.77,0.76,21
Web Development,lead,1157,732.2,38.03,0.76,22
Web Development,key,1147,731.8,37.71,0.75,23
Web Development,frontend,1143,727.8,37.57,0.75,24
Web Development,node,1152,726.0,37.87,0.75,25
Web Development,backend,1124,714.2,36.95,0.74,26
Web Development,include,1128,712.8,37.08,0.74,27
Web Development,components,1127,711.8,37.05,0.73,28
Web Development,creating,1121,705.8,36.85,0.73,29
Web Development,also,1118,693.2,36.75,0.72,30
